1 1 1 1 1 
2 2 3 3 3 
3 3 6 5 6 
4 4 10 8 10 
5 5 15 11 15 
6 6 21 14 21 
7 7 28 17 28 
8 8 36 21 36 
9 9 45 25 45 
10 10 55 29 55 
11 11 66 33 66 
12 12 78 37 78 
13 13 91 41 91 
14 14 105 45 105 
15 15 120 49 120 
16 16 136 54 136 
17 17 153 59 153 
18 18 171 64 171 
19 19 190 69 190 
20 20 210 74 210 
21 21 231 79 231 
22 22 253 84 253 
23 23 276 89 276 
24 24 300 94 300 
25 25 325 99 325 
26 26 351 104 351 
27 27 378 109 378 
28 28 406 114 406 
29 29 435 119 435 
30 30 465 124 465 
31 31 496 129 496 
32 32 528 135 528 
33 33 561 141 561 
34 34 595 147 595 
35 35 630 153 630 
36 36 666 159 666 
37 37 703 165 703 
38 38 741 171 741 
39 39 780 177 780 
40 40 820 183 820 
41 41 861 189 861 
42 42 903 195 903 
43 43 946 201 946 
44 44 990 207 990 
45 45 1035 213 1035 
46 46 1081 219 1081 
47 47 1128 225 1128 
48 48 1176 231 1176 
49 49 1225 237 1225 
50 50 1275 243 1275 
51 51 1326 249 1326 
52 52 1378 255 1378 
53 53 1431 261 1431 
54 54 1485 267 1485 
55 55 1540 273 1540 
56 56 1596 279 1596 
57 57 1653 285 1653 
58 58 1711 291 1711 
59 59 1770 297 1770 
60 60 1830 303 1830 
61 61 1891 309 1891 
62 62 1953 315 1953 
63 63 2016 321 2016 
64 64 2080 328 2080 
65 65 2145 335 2145 
66 66 2211 342 2211 
67 67 2278 349 2278 
68 68 2346 356 2346 
69 69 2415 363 2415 
70 70 2485 370 2485 
71 71 2556 377 2556 
72 72 2628 384 2628 
73 73 2701 391 2701 
74 74 2775 398 2775 
75 75 2850 405 2850 
76 76 2926 412 2926 
77 77 3003 419 3003 
78 78 3081 426 3081 
79 79 3160 433 3160 
80 80 3240 440 3240 
